TRIFD,ID,ADDRESS
31792CVSSTPOBOX,9865,102 AIRPORT RD GA 31757
32086VWFMR200RI,9950,200 RIVIERA BLVD FL 32086
32205MTLCN1100N,10001,1100 N ELLIS RD FL 32254
32220FLFBN8525M,10052,8525 MALLORY RD FL 32220
32347SPRTC500HO,10113,1290 HOUCK RD FL 32348
32403SDDTYUSHWY,10123,325 CES CEI 119 ALABAMA AVE STOP 42 FL 32403
32405TXTRD2422E,10128,2422 E 15TH ST FL 32405
32669FLRDR4000N,10216,4000 NW COUNTY RD 235 FL 32669
3270WHWTGP2263C,10231,2263 CLARK ST FL 32703
3271WVCNPR328BE,10239,328 BENSON JUNCTION RD FL 32713
32724NTLLT1485J,10245,1485 JACOBS RD FL 32724
3277WRGSSN415MA,10272,4150 MAVERICK CT FL 32771
3280WTTNFL42GRA,10310,425 GRANT ST W FL 32806
32810DDSNS7631O,10312,7351 OVERLAND RD FL 32810
32824LNCHR6MIDF,10330,600 MID FLORIDA DR FL 32824
32934MNMNC3900D,10380,3900 DOW RD FL 32934
3302WJLDNC1369N,10424,10369 N COMMERCE PKWY FL 33025
3305WSHRFN128NW,10440,12800 NW 38TH AVE FL 33054
3313WDWNTW16NRT,10464,1600 N MIAMI AVE FL 33136
3317WTRMRN11321,10507,11321 NW 112TH CT FL 33178
33442PNRCN1340S,10574,1340 SW 34TH AVE FL 33442
3361WVCNPR51232,10719,5123 24TH AVENUE SOUTH FL 33619
33762NDVRC37031,10763,3703 131ST AVE N FL 33762
33805BGSHR1600K,10796,1600 KATHLEEN RD FL 33805
33850GRWRS312NB,10855,312 N BUENA VISTA DR FL 33850
33853MNRLF200ST,10860,200 STORY RD FL 33898
34232PTRSN155CA,10960,155 CATTLEMEN RD FL 34232
3423WFLRDR6DEAC,10965,6000 DEACON PLACE FL 34238
3361WPRFRR1811N,10712,1811 N 57TH ST FL 33619
33407PRCTN3301E,10550,3301 ELECTRONICS WAY FL 33407
7314WBRLCNTINKE,26537,TINKER AIR FORCE BASE - MUNITIONS ROAD OK 73145
7317WMLRKY34SCU,26553,3400 S. COUNCIL ROAD OK 73179
7340WDLSBR115NP,26562,115 N PLAINVIEW RD OK 73401
73701PLLSB1301N,26617,1301 N 4TH OK 73701
7370WSNCST511EW,26623,5110 E OWEN K GARRIOTT RD OK 73701
73446CNTRC300IN,26570,200 COUNTY RD OK 73446
7350WBRNRD22SGL,26581,202 S. GLENN SMITH ROAD OK 73501
7353WHLLBR215BI,26592,215 BOIS D'ARC AVE OK 73533
74014LSTMR10908,26664,10848 S 265TH E AVE OK 74014
74015DVNCR5005N,26668,5005 N SKIATOOK RD OK 74015
74063MSDVT23SHW,26733,2300 S HWY 97 OK 74063
74127DJVNT3634C,26842,3507 W 5TH ST OK 74127
74008MRCNF14602,26657,14602 S GRANT OK 74008
7400WBXBYB762E1,26658,7602 E 141ST ST S OK 74008
74015RLNGR5610B,26675,5610 BIRD CREEK AVE OK 74015
7406WWBCND1371H,26745,13701 HIGHWAY 51 OK 74063
74116PRCSM12716,26806,12716 E PINE ST OK 74116
74120NMPLT325SQ,26837,325 S QUINCY AVE OK 74120
74137CNLYC2795E,26858,2795 E 91ST ST OK 74137
74362GRGPCHWY69,26904,1198 HWY 69-A OK 74361
74363GLPCH1MILE,26909,3250 S 614 RD OK 74363
7436WSTNDR4634N,26915,4634 NE 1ST ST OK 74361
74601SMTHN1405N,26963,1405 N WAVERLY ST OK 74601
7470WDRNTR1EEVE,26980,100 E EVERGREEN ST OK 74701
7470WSTLFB446CU,26981,446 COUNTRY CLUB RD OK 74701
74735WSTRNHWY70,26988,HWY 70 OK 74743
74766WYRHSHC74B,26995,FIRST & MAIN OK 74766
7483WCHNDL325E1,27012,3025 E 1ST ST OK 74834
7502WCTRPL351SU,27066,3501 SOUTH FM HIGHWAY 1417 TX 75020
75050NTRTR1177G,27127,1174 & 1177 N GREAT SW PKWY TX 75050
75061SFTYK213EG,27157,2130 E GRAUWYLER TX 75061
75104QLTYD621HA,27225,621 HALL ST TX 75104
75165LRCHN6260I,27309,6260 I-35 E TX 75165
7516WMGNBL146WM,27323,1406 W MARVIN AVE TX 75165
75215MRTNF2944O,27361,2944 OAK LN TX 75215
75220GNRLF10726,27372,2809 DORIC CIR TX 75220
7545WGRTST2993C,27465,2993 COUNTY RD 3210 TX 75455
75603NRRSC1535F,27529,4818 W. LOOP 281 S. TX 75603
75603RLQDL5361W,27530,5361 W LOOP 281 TX 75603
7613WWTTSH425WE,27996,425 WEST EVERMAN PARKWAY TX 76134
77015LSTTS1673J,28311,16730 JACINTO PORT BLVD TX 77015
7702WSCHFF492AI,28380,4920 AIRLINE DR TX 77022
73942FRRBTGUYMO,26649,2502 N HURLIMAN RD OK 73942
74063CHMLN9100W,26728,9100 W 21ST ST OK 74063
74107SLZRC639W4,26774,639 W. 41ST ST. OK 74107
7411WNVMRN493NR,26825,4903 N 66TH ST E OK 74117
7411WSYSTC271N1,26833,2701 N. 145TH E. AVE. OK 74116
74120TRNTY160NR,26840,160 N ROCKFORD ST OK 74120
74402CMNGN1820N,26919,1820 N YORK ST OK 74403
74631KLHMNHWY11,26972,708 N 29TH OK 74631
7470WCMCST584LB,26976,584 OLD HIGHWAY 70 OK 74701
75041KNGSL3WKIN,27095,3000 W KINGSLEY TX 75041
75050CSMDF1175I,27122,1175 ISUZU PKWY TX 75050
75069NCRWR1410M,27166,1410 MILLWOOD RD TX 75069
7508WSPCLT261LA,27206,2601 LAWING LN # 100 TX 75088
75098LNSTR901HE,27217,901 HENSLEY LN TX 75098
75149FRTZC500SA,27282,500 N SAM HOUSTON RD TX 75149
7514WTXPRT94EPL,27292,940 E PLEASANT RUN RD TX 75146
75160VKSTH17MET,27303,107 METROCREST WAY TX 75160
75234NTNLH12827,27395,12827 VALLEY BRANCH LN TX 75234
75234ZCNCR12200,27396,12111 FORD RD TX 75234
75237KPRRS4114M,27403,4114 MINT WAY TX 75237
75243DRSNF13532,27414,13532 N CENTRAL EXPRESSWAY TX 75243
75501LMXML300AL,27496,300 ALUMAX DR TX 75501
75502RCKWL30GLO,27501,30 GLOBE AVE AR 71854
7566WCLVLN55ELD,27600,5005 ELDER LAKE ROAD TX 75662
7575WCLYTN3429S,27652,3429 STATE HIGHWAY 31 W TX 75751
75766CNTRYHWY69,27656,HWY 69 S TX 75766
7600WLTTMR55SUT,27754,550 SOUTH OF INTERSECTION OF CR 207 & HWY 67 TX 76009
7600WWFRTW1231C,27760,12301 CAMP BOWIE W TX 76008
76031JHBPC82SPA,27796,820 SPARKS DR TX 76031
76033SMTHF312WI,27803,3102 WINDMILL RD TX 76033
76051TNLCT631WE,27830,631 WESTPORT PKWY SUITE 100 TX 76051
76063HNSLY800S5,27848,800 S 5TH AVE TX 76063
76063TRNTY947TR,27853,947 TRINITY DR TX 76063
7606WPRKRH7S4TH,27885,700 S 4TH AVENUE TX 76063
7610WPRKRH47LNE,27937,4700 LONE STAR BLVD TX 76106
76117FLCNS421LD,27956,4201 OLD DENTON RD TX 76117
76118SCSTP7112A,27962,7112 A BURNS ST TX 76118
7617WLNDXX9941M,28029,9941 MORRIS DIDO NEWARK RD TX 76179
7624WNVTSL198NW,28069,1908 N WEAVER ST TX 76240
7624WTXSTR131WH,28071,1310 W. HIGHWAY 82 TX 76240
7642WTHMSP179CR,28106,1709 CRITTENDON TX 76426
76503TXSHY3410N,28125,3410 RANGE RD TX 76504
7650WRYNLD3PEGA,28136,3000 PEGASUS RD TX 76501
76705KCHPT2017K,28199,2017 KENDALL LN TX 76705
76705PLGRM2500E,28201,2500 E LAKESHORE DR TX 76705
76712LHGHC1SWIC,28218,100 S WICKSON RD TX 76712
